Image,Beta,Alpha
Calendar,0.4118888693,0.04308337464
Calendar,0.413041773,0.04539019345
Calendar,0.4114849773,0.04722661965
Calendar,0.4089010793,0.0560514533
Calendar,0.4082750258,0.06374537342
Calendar,0.4093911833,0.06945697785
Calendar,0.4088633636,0.08463242261
Calendar,0.40485124,0.1101601328
Calendar,0.4004848017,0.1062340789
Calendar,0.3940044834,0.1005679223
Calendar,0.3875142363,0.1172947249
Calendar,0.3767769969,0.1313211171
Calendar,0.3705012298,0.1367467435
Calendar,0.3670894735,0.1391137889
Calendar,0.3635428356,0.1425410141
Calendar,0.3579424819,0.1504725375
Calendar,0.3547728464,0.1590864707
Calendar,0.3529991116,0.1679234845
Calendar,0.3518190415,0.1574724874
Calendar,0.3483975839,0.1460262429
Calendar,0.3417817901,0.1535937966
Calendar,0.3331988886,0.1638316827
Calendar,0.3297139693,0.1528381313
Calendar,0.3272658137,0.1368368473
Calendar,0.3212077059,0.1389264386
Calendar,0.3136025702,0.1490173983
Calendar,0.3047988858,0.1507483788
Calendar,0.2965889697,0.1318433374
Calendar,0.2909357675,0.1094785251
Calendar,0.2888432849,0.1120840602
Calendar,0.2899290934,0.1158492899
Calendar,0.2959003635,0.1115060115
Calendar,0.3028161465,0.102859373
Calendar,0.3049443064,0.09217438793
Calendar,0.3097016679,0.08186555321
Calendar,0.31639436,0.06954927814
Calendar,0.3235701383,0.06098663152
Calendar,0.3253847457,0.053218628
Calendar,0.3269833974,0.0430035583
Calendar,0.3315333821,0.04315510413
Calendar,0.3392539232,0.0487926582
Calendar,0.3435453004,0.0452929577
Calendar,0.3416018214,0.03645626829
Calendar,0.3304566325,0.03907971797
Calendar,0.3169636273,0.05151167962
Calendar,0.310358922,0.04605434635
Calendar,0.3123732235,0.03329254917
Calendar,0.3145766063,0.02407800104
Calendar,0.3120445922,0.02803678353
Calendar,0.3048135707,0.0380609105
Calendar,0.2936083128,0.03293509068
